(28.10.2019 14:09:51) CMD   : NumberOfKeystrokes("91,77", "1", "10")
(28.10.2019 14:09:51) DTL   :   KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:09:52) DTL   :     KeyDown:'LWIN'
(28.10.2019 14:09:52) DTL   :     Sleep("10")
(28.10.2019 14:09:52) DTL   :     KeyDown:'VK_M'
(28.10.2019 14:09:52) DTL   :     Sleep("10")
(28.10.2019 14:09:52) DTL   :     KeyUp:'VK_M'
(28.10.2019 14:09:52) DTL   :     KeyUp:'LWIN'
(28.10.2019 14:09:52) CMD   : Sleep("2000")
(28.10.2019 14:09:54) CMD   : Processes.Execute("system32\mstsc.exe", "", "True", "False", "Normal")
(28.10.2019 14:09:54) DTL   :   Processes.StartProcess("system32\mstsc.exe", "", "True", "False", "Normal", "False", "False")
(28.10.2019 14:09:54) CMD   : WindowsUI.GetElementRectangle("0", "False", "True", "False", "False")
(28.10.2019 14:09:54) DTL   :   WindowsUI.FocusWindow("ByName", "Подключение к удаленному рабочему столу", "0")
(28.10.2019 14:09:54) DTL   :     WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:09:54) DTL   :       Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:09:54) DTL   :       WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:09:54) DTL   :         Focus window with name 'Подключение к удаленному рабочему столу' is successfully
(28.10.2019 14:09:54) DTL   :         Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:09:54) DTL   :       Found 1 elements.
(28.10.2019 14:09:54) DTL   :       Order = 0, taking first.
(28.10.2019 14:09:54) DTL   :       elArr: Found 
(28.10.2019 14:09:54) DTL   :       BoundingRectangle: (x=773, y=198, w=389, h=28)
(28.10.2019 14:09:55) DTL   :       GetCurrentPropertyValue: (x=773, y=198, w=389, h=28)
(28.10.2019 14:09:55) DTL   :       GetClickablePoint: (967, 212)
(28.10.2019 14:09:55) DTL   :       x+w/2, y+h/2: (967,5, 212)
(28.10.2019 14:09:55) DTL   :       Focused element
(28.10.2019 14:09:55) DTL   :       SimulateSystem.ClickLeftMouseButton("967", "212", "")
(28.10.2019 14:09:55) DTL   :         SimulateSystem.CalculateLocation("967", "212", "")
(28.10.2019 14:09:55) DTL   :           (33006, 12864)
(28.10.2019 14:09:55) DTL   :         SimulateSystem.ClickMouseYeah("33006", "12864", "MOUSEEVENTF_LEFTUP", "MOUSEEVENTF_LEFTDOWN")
(28.10.2019 14:09:55) DTL   :         Click left mouse button complete
(28.10.2019 14:09:55) DTL   :       ForceClick on (967,212)
(28.10.2019 14:09:55) WARN  : Action Timeout!
(28.10.2019 14:09:55) DTL   :       TextEntry
(28.10.2019 14:09:55) DTL   :     Key RETURN pressed
(28.10.2019 14:09:55) DTL   :     TextEntry
(28.10.2019 14:09:55) DTL   :   WindowsUI.GetElementRectangle("0", "False", "True", "False", "False")
(28.10.2019 14:09:55) DTL   :     WindowsUI.FocusWindow("ByName", "Подключение к удаленному рабочему столу", "0")
(28.10.2019 14:09:55) DTL   :       WindowsUI.FindWindow("ByName", "Подключение к удаленному рабочему столу", "System.Windows.Automation.AutomationElement", "Robin.RobotTools.RobinWatch")
(28.10.2019 14:09:56) DTL   :         Focus window with name 'Подключение к удаленному рабочему столу' is successfully
(28.10.2019 14:09:56) DTL   :         Focus on window Подключение к удаленному рабочему столу
(28.10.2019 14:09:56) DTL   :       Found 1 elements.
(28.10.2019 14:09:56) DTL   :       Order = 0, taking first.
(28.10.2019 14:09:56) DTL   :       elArr: Found Подключить
(28.10.2019 14:09:56) DTL   :       BoundingRectangle: (x=999, y=416, w=75, h=23)
(28.10.2019 14:09:56) DTL   :       GetCurrentPropertyValue: (x=999, y=416, w=75, h=23)
(28.10.2019 14:09:56) DTL   :       GetClickablePoint: (1036, 427)
(28.10.2019 14:09:56) DTL   :       x+w/2, y+h/2: (1036,5, 427,5)
(28.10.2019 14:09:56) DTL   :       Focused elementПодключить
(28.10.2019 14:09:56) DTL   :       SimulateSystem.ClickLeftMouseButton("1036", "427", "")
(28.10.2019 14:09:56) DTL   :         SimulateSystem.CalculateLocation("1036", "427", "")
(28.10.2019 14:09:56) DTL   :           (35362, 25910)
(28.10.2019 14:09:56) DTL   :         SimulateSystem.ClickMouseYeah("35362", "25910", "MOUSEEVENTF_LEFTUP", "MOUSEEVENTF_LEFTDOWN")
(28.10.2019 14:09:56) DTL   :         Click left mouse button complete
(28.10.2019 14:09:56) DTL   :       ForceClick on (1036,427)
(28.10.2019 14:09:56) WARN  : Action Timeout!
(28.10.2019 14:09:57) DTL   :       NumberOfKeystrokes("13", "1", "10")
(28.10.2019 14:09:57) DTL   :         KeyboardAction("System.Collections.Generic.List`1[System.Int32]", "10")
(28.10.2019 14:09:57) DTL   :           KeyDown:'RETURN'
(28.10.2019 14:09:57) DTL   :           Sleep("10")
(28.10.2019 14:09:57) DTL   :           KeyUp:'RETURN'
